taxonomic_chain,nmol
Viridiplantae-Streptophyta-Magnoliopsida-Solanales-Solanaceae-Solanum-Solanum laxum,278
Viridiplantae-Streptophyta-Magnoliopsida-Asparagales-Orchidaceae-Dendrobium-Dendrobium nobile,278
Viridiplantae-Streptophyta-Magnoliopsida-Malvales-Cistaceae-Cistus-Cistus creticus,277
Viridiplantae-Streptophyta-Magnoliopsida-Zygophyllales-Zygophyllaceae-Tribulus-Tribulus terrestris,277
Viridiplantae-Streptophyta-Magnoliopsida-Fagales-Juglandaceae-Juglans-Juglans nigra,276
Viridiplantae-Streptophyta-Magnoliopsida-Malpighiales-Hypericaceae-Hypericum-Hypericum laricifolium,276
Viridiplantae-Streptophyta-Magnoliopsida-Ranunculales-Ranunculaceae-Actaea-Actaea simplex,275
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Asteraceae-Arctium-Arctium lappa,275
Viridiplantae-Streptophyta-Magnoliopsida-Sapindales-Meliaceae-Khaya-Khaya senegalensis,275
Viridiplantae-Streptophyta-Magnoliopsida-Fabales-Fabaceae-Pongamia-Millettia pinnata,275
Viridiplantae-Streptophyta-Magnoliopsida-Austrobaileyales-Schisandraceae-Kadsura-Kadsura coccinea,275
Viridiplantae-Streptophyta-Magnoliopsida-Santalales-Santalaceae-Santalum-Santalum album,275
Viridiplantae-Streptophyta-Magnoliopsida-Brassicales-Brassicaceae-Sinapis-Sinapis alba,274
Pseudomonadati-Pseudomonadota-Alphaproteobacteria-Hyphomicrobiales-Blastochloridaceae-Blastochloris-Blastochloris viridis,274
Viridiplantae-Streptophyta-Magnoliopsida-Solanales-Solanaceae-Solanum-Solanum melongena,273
Viridiplantae-Streptophyta-Magnoliopsida-Fabales-Fabaceae-Pentaclethra-Pentaclethra macrophylla,273
Viridiplantae-Streptophyta-Magnoliopsida-Sapindales-Simaroubaceae-Picrasma-Picrasma quassioides,273
Viridiplantae-Streptophyta-Magnoliopsida-Apiales-Araliaceae-Eleutherococcus-Eleutherococcus senticosus,272
Viridiplantae-Streptophyta-Pinopsida-Cupressales-Cupressaceae-Juniperus-Juniperus drupacea,272
Viridiplantae-Streptophyta-Magnoliopsida-Rosales-Moraceae-Broussonetia-Broussonetia papyrifera,270
Viridiplantae-Streptophyta-Polypodiopsida-Polypodiales-Polypodiaceae-Lepisorus-Lepisorus ussuriensis,269
Viridiplantae-Streptophyta-Magnoliopsida-Fabales-Fabaceae-Trifolium-Trifolium pratense,269
Viridiplantae-Streptophyta-Magnoliopsida-Lamiales-Lamiaceae-Mentha-Mentha spicata,269
Viridiplantae-Streptophyta-Magnoliopsida-Lamiales-Lamiaceae-Vitex-Vitex agnus-castus,269
Viridiplantae-Streptophyta-Pinopsida-Cupressales-Cupressaceae-Taiwania-Taiwania cryptomerioides,268
Fungi-Ascomycota-Eurotiomycetes-Eurotiales-Aspergillaceae-Aspergillus-Aspergillus flavus,268
Viridiplantae-Streptophyta-Magnoliopsida-Magnoliales-Annonaceae-Annona-Annona glabra,267
Viridiplantae-Streptophyta-Magnoliopsida-Fabales-Fabaceae-Caragana-Caragana aurantiaca,267
Bacillati-Actinomycetota-Actinomycetes-Kitasatosporales-Streptomycetaceae-Streptomyces-Streptomyces avermectinius,267
Viridiplantae-Streptophyta-Magnoliopsida-Ericales-Primulaceae-Lysimachia-Lysimachia mauritiana,267
Viridiplantae-Streptophyta-Magnoliopsida-Cornales-Cornaceae-Cornus-Cornus officinalis,265
Bacillati-Actinomycetota-Actinomycetes-Kitasatosporales-Streptomycetaceae-Streptomyces-Streptomyces platensis,265
Viridiplantae-Streptophyta-Magnoliopsida-Rosales-Rosaceae-Rosa-Rosa rugosa,265
Pseudomonadati-Myxococcota-nan-Polyangiales-Polyangiaceae-Sorangium-Sorangium cellulosum,265
Viridiplantae-Streptophyta-Magnoliopsida-Fabales-Fabaceae-Astragalus-Astragalus membranaceus,264
Viridiplantae-Streptophyta-Magnoliopsida-Magnoliales-Annonaceae-Annona-Annona cornifolia,263
Viridiplantae-Streptophyta-Magnoliopsida-Saxifragales-Crassulaceae-Rhodiola-Rhodiola semenovii,263
Fungi-Basidiomycota-Agaricomycetes-Polyporales-Phaeolaceae-Wolfiporia-Wolfiporia cocos,263
Fungi-Ascomycota-Eurotiomycetes-Eurotiales-Aspergillaceae-Aspergillus-Aspergillus unguis,262
Viridiplantae-Streptophyta-Magnoliopsida-Solanales-Solanaceae-Solanum-Solanum lycopersicum,262
Viridiplantae-Streptophyta-Magnoliopsida-Lamiales-Lamiaceae-Paraleonurus-Leonurus heterophyllus,261
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Asteraceae-Inula-Inula helenium,261
Viridiplantae-Streptophyta-Magnoliopsida-Caryophyllales-Polygonaceae-Rumex-Rumex maritimus,260
Viridiplantae-Streptophyta-Magnoliopsida-Magnoliales-Annonaceae-Goniothalamus-Goniothalamus malayanus,259
Fungi-Ascomycota-Sordariomycetes-Hypocreales-Bionectriaceae-Clonostachys-Clonostachys rosea,259
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Asteraceae-Tanacetum-Tanacetum parthenium,259
Viridiplantae-Streptophyta-Magnoliopsida-Apiales-Apiaceae-Angelica-Angelica dahurica,258
Viridiplantae-Streptophyta-Magnoliopsida-Sapindales-Simaroubaceae-Eurycoma-Eurycoma longifolia,258
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Asteraceae-Viguiera-Viguiera incana,258
Viridiplantae-Streptophyta-Magnoliopsida-Lamiales-Plantaginaceae-Picrorhiza-Picrorhiza kurrooa,256
Viridiplantae-Streptophyta-Magnoliopsida-Gentianales-Rubiaceae-Uncaria-Uncaria rhynchophylla,256
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Asteraceae-Cichorium-Cichorium endivia,255
Fungi-Ascomycota-Eurotiomycetes-Eurotiales-Aspergillaceae-Aspergillus-Aspergillus candidus,255
Viridiplantae-Streptophyta-Magnoliopsida-Ranunculales-Berberidaceae-Epimedium-Epimedium sagittatum,254
Viridiplantae-Streptophyta-Magnoliopsida-Gentianales-Rubiaceae-Breonia-Breonia chinensis,254
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Asteraceae-Dahlia-Dahlia pinnata,254
Viridiplantae-Streptophyta-Magnoliopsida-Apiales-Araliaceae-Panax-Panax quinquefolius,254
